i,j
1793,3890
1794,3825
1795,3347
1796,3540
1797,1928
1797,3723
1798,3224
1799,2181
1799,2264
1802,2475
1802,2662
1803,2761
1803,3180
1804,2229
1804,3741
1805,1899
1806,2177
1806,2665
1807,1825
1807,3840
1809,2833
1809,3197
1810,3200
1810,3513
1811,1864
1811,2092
1812,2010
1812,2145
1814,3336
1816,3366
1817,3875
1818,2538
1818,3096
1819,1986
1819,2703
1820,2059
1820,2924
1821,3226
1822,2107
1822,3261
1824,2358
1824,3007
1825,3256
1826,2480
1826,2637
1827,2047
1830,3072
1831,3415
1831,3807
1832,2130
1833,2643
1833,2647
1834,3457
1836,2711
1836,3293
1837,2214
1837,2847
1838,2885
1840,2877
1840,3692
1841,2437
1841,2876
1842,2997
1842,3222
1843,2525
1844,2647
1844,3178
1845,2975
1845,3572
1846,2885
1846,3186
1847,2705
1847,2821
1848,2505
1849,2589
1849,3574
1850,3593
1851,2896
1852,2541
1853,1901
1853,3068
1854,3111
1854,3210
1855,2935
1856,3384
1856,3442
1857,2613
1857,2642
1859,3396
1859,3650
1860,2406
1860,3231
1861,3009
1861,3704
1862,2028
1862,2369
1863,2018
1863,2213
1864,2069
1865,3831
1866,2595
1866,3287
1867,2299
1868,2976
1869,1975
1869,3213
1870,2030
1870,3390
1871,2494
1871,3130
1872,2016
1873,2534
1873,3575
1874,2509
1874,3290
1875,3488
1877,3066
1877,3528
1878,2265
1879,2949
1880,2095
1881,2760
1881,3692
1882,2419
1882,2557
1883,2142
1883,2808
1884,2253
1884,3045
1885,2210
1885,3289
1886,2065
1887,3483
1888,2258
1888,3485
1890,3424
1891,1919
1891,3253
1892,3699
1893,2348
1893,2686
1894,2234
1894,2758
1895,3248
1896,2545
1897,2912
1898,1921
1898,2103
1898,2864
1899,2962
1900,3707
1901,3950
1902,3037
1902,3746
1903,2536
1903,3261
1904,3900
1905,3339
1906,2972
1907,2071
1907,3001
1908,2074
1909,2892
1910,2199
1910,3157
1911,2893
1911,3544
1912,3040
1913,2050
1913,3286
1914,2058
1914,2742
1915,2474
1916,3163
1917,1991
1918,2449
1918,2884
1920,2270
1922,2331
1922,3151
1923,2601
1923,3021
1924,2774
1924,2867
1925,2551
1926,3352
1927,2574
1927,3482
1928,3359
1931,1951
1931,2878
1932,2376
1932,3670
1934,2857
1934,3909
