i,j
1048,1337
1048,2207
1049,4025
1050,3857
1051,1570
1052,1776
1053,1482
1055,1148
1056,3418
1058,3592
1059,3822
1060,3491
1060,3729
1061,1966
1063,1315
1063,2715
1064,1123
1067,1358
1067,2375
1069,3909
1070,2005
1070,2933
1071,1171
1071,3759
1073,1093
1074,1157
1075,2139
1076,2406
1076,2941
1077,1290
1077,1857
1078,2926
1079,1531
1079,3190
1080,1232
1080,4255
1081,2174
1081,3949
1083,4277
1084,2250
1084,2710
1085,2471
1085,4158
1087,1412
1087,3501
1088,2968
1088,3649
1090,3738
1091,1127
1092,1901
1092,3524
1094,1103
1095,2772
1095,2900
1096,1097
1097,1118
1098,3752
1099,3102
1101,1990
1102,1735
1102,3714
1103,2096
1107,1109
1108,1740
1108,1853
1110,3749
1112,1424
1112,3024
1115,2160
1116,1639
1117,1649
1117,4221
1118,2720
1119,3155
1120,3579
1122,2140
1123,3014
1125,4000
1126,1521
1126,2441
1127,4335
1128,1908
1128,3403
1130,2191
1130,4004
1131,2670
1131,3070
1133,2356
1133,3330
1134,1786
1134,3668
1135,4245
1136,2393
1136,3049
1137,4025
1138,1232
1139,3972
1140,1568
1140,1749
1141,1334
1142,1752
1142,2576
1142,2864
1143,1552
1143,1900
1144,4074
1145,2468
1146,3539
1146,4244
1147,2210
1150,2561
1150,3479
1156,2564
1156,3970
1157,3885
1159,1969
1159,3185
1162,3078
1163,1810
1164,1733
1164,1932
1165,3906
1165,4054
1166,3497
1167,4044
1168,2142
1168,3848
1169,1841
1170,2176
1170,2933
1172,2754
1172,4128
1173,2500
1173,4196
1174,2344
1174,2783
1175,1984
1175,2620
1176,1306
1176,3733
1177,1193
1177,3472
1178,3991
1179,2627
1179,4362
1180,1783
1180,2984
1181,2830
1181,3095
1182,2719
1182,3389
1183,3706
1183,4294
1184,3111
1185,1740
1185,2356
1186,3514
1186,3915
1187,2850
1188,1247
1188,4408
1189,2481
1189,3410
1190,2159
1190,2979
1191,2243
1191,3094
1192,1366
1194,1540
1194,1633
1195,3310
1195,4285
1196,2519
1196,4191
1198,2887
1198,3777
1199,1517
1199,3026
1200,2674
1200,4333
1201,1208
1201,3344
1202,1372
1202,3459
1203,2567
1203,4320
1204,1351
1204,1454
1205,1959
1205,3067
1206,2602
1207,1272
1207,3520
1208,1847
1209,1923
1209,3786
1210,1739
1210,2652
1211,1629
1211,3763
1212,3225
1212,3942
1213,2300
1213,3294
1214,2475
1214,2614
1215,2866
1215,3060
1216,1574
1216,4425
1217,2372
1218,2223
1218,2959
1219,1665
1219,2732
1220,2942
1220,3465
1221,3780
1222,2572
1222,3138
1223,3491
1224,1634
1224,2022
1225,3725
1226,2395
1226,3482
1227,3007
1227,4363
1228,1708
1229,2739
1229,3634
1230,2579
1230,3426
1231,1596
1231,4101
1234,3129
1234,4117
1235,2259
1235,3453
1236,1493
1236,1569
1237,2902
1237,4119
1238,2693
1239,3607
1239,3688
1240,2322
1241,3948
1242,2221
1242,3433
1243,2373
1243,3896
1244,1683
1244,2451
1245,2523
1245,3782
1246,3064
1246,3370
1247,1297
1248,2539
1249,3200
1250,1543
1250,2654
1251,1556
1251,3273
1252,3216
1252,3753
1253,3449
1253,4350
1254,2446
1254,2560
1255,1466
1255,1947
1256,1353
1257,4030
1258,1558
1258,3883
1259,1362
1259,2152
1260,1383
1261,1933
1262,1346
1262,3827
1263,1521
1263,3205
1264,2072
1264,3171
1266,1848
1266,4008
1267,3004
1267,3645
1268,2231
1268,3630
1269,1830
1269,2268
1270,1329
1270,2347
1271,2836
1271,2970
1272,1432
1273,2271
1274,2291
1275,1646
1276,2412
1276,2792
1277,1454
1277,1815
1278,2101
1278,4169
1279,2563
1279,3006
1280,2088
1280,3423
1281,2678
1281,2852
1282,2003
1282,2113
1283,3661
1283,4200
1284,3429
1284,3856
1285,3128
1285,4257
1286,2067
1286,2525
1287,1738
1287,3907
1288,2065
1288,4057
1289,3480
1291,2872
1292,3195
1292,3648
1293,4222
1293,4355
1294,1681
1294,3344
1295,1893
1295,1979
1296,2008
1297,2331
1298,1608
1298,2532
1299,2653
1299,3704
1300,3487
1300,4356
1301,2538
1301,3157
1303,2030
1304,2720
1305,1917
1305,2135
1306,1327
1307,1663
